Time,Yamanashi,Toyama,Tottori,Shimane,Saga,Okayama,Kagoshima,Kagawa,Fukui,Yamagata,Aomori,Ibaraki,Iwate,Aichi,Akita,Chiba,Ehime,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ishikawa,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nara,Niigata,Oita,Okinawa,Osaka,Saitama,Shiga,Shizuoka,Tochigi,Tokushima,Tokyo,Unspecified,Wakayama,Yamaguchi,NA,Sum,Total death
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0
#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,12,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,15,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,16,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,2,20,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,2,21,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,4,0,0,0,2,24,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,5,0,0,0,2,27,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,6,0,0,0,2,30,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,7,0,0,0,2,31,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,9,0,0,0,2,33,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,6,9,0,0,0,2,34,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7,9,0,0,0,2,35,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,9,9,1,0,0,2,40,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,4,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,11,10,2,0,0,3,48,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,4,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,18,10,5,0,0,4,59,1
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,4,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,22,10,5,0,0,6,65,1
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,5,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,23,13,9,0,0,6,74,1
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,8,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,26,13,12,0,0,7,85,1
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,8,0,0,2,1,0,0,0,1,0,0,2,1,0,0,0,0,0,29,13,12,0,0,8,91,1
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,5,0,0,10,0,0,2,1,0,0,0,1,0,0,3,1,1,0,0,0,0,30,13,12,0,0,9,101,1
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,8,0,1,11,0,1,2,1,0,0,0,1,0,0,3,1,2,0,0,0,0,33,13,12,0,0,11,115,1
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,17,0,2,15,0,3,2,1,0,0,0,1,0,0,3,1,2,0,0,1,0,34,13,13,0,0,15,140,1
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,26,0,2,15,0,3,2,1,0,0,0,1,0,0,3,1,2,0,0,1,0,34,13,13,0,0,17,152,1
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,30,0,3,16,0,3,2,1,0,0,0,1,0,0,3,1,2,0,0,1,0,39,13,13,0,0,17,163,1
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,35,0,4,16,0,5,2,1,0,0,1,1,0,0,3,1,2,0,0,1,1,39,13,13,0,0,20,176,1
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,1,0,0,39,0,4,18,0,5,2,1,0,0,2,1,0,0,3,1,2,0,0,1,1,42,13,13,0,0,25,195,3
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,2,0,0,54,0,5,22,0,5,2,1,0,0,2,1,0,0,3,2,2,0,0,1,1,43,13,13,0,0,27,220,5
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,2,0,0,66,0,6,23,0,5,2,1,0,0,2,1,0,0,3,4,2,0,1,1,1,43,13,13,0,0,28,238,5
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,2,0,0,70,0,6,23,1,5,2,1,1,0,2,1,1,0,3,4,2,0,1,1,1,44,13,13,0,0,29,247,5
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,2,0,0,72,1,6,26,2,5,2,1,1,0,2,1,1,0,3,4,2,0,1,1,1,46,13,13,0,0,32,261,6
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,3,0,2,0,0,77,1,6,32,3,5,2,1,1,0,2,1,5,0,3,6,2,0,1,1,1,46,13,13,0,0,32,280,6
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,3,0,2,0,0,79,3,6,33,3,5,3,1,1,0,2,1,5,1,3,8,2,0,1,1,1,47,13,13,1,0,41,300,6
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,3,0,2,0,0,82,3,6,33,7,6,5,1,1,1,2,1,5,1,3,17,2,0,1,1,1,51,13,13,1,0,50,335,6
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,3,0,2,0,0,83,4,6,37,7,6,6,1,1,1,2,1,6,1,3,18,4,1,1,2,1,59,13,14,3,0,58,367,6
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,2,3,0,2,0,0,90,8,6,42,9,6,7,1,1,1,3,4,6,1,3,31,7,1,1,2,1,65,13,14,3,1,63,422,6
2020-03-07,7,0,0,0,0,0,0,0,0,0,0,0,0,2,21,2,3,1,2,1,1,98,10,6,43,10,6,8,1,1,1,3,4,6,1,3,41,7,1,1,2,1,71,13,14,3,2,70,466,6
2020-03-08,7,0,0,0,0,0,0,0,0,0,0,0,0,2,21,2,3,1,2,1,1,101,12,6,43,12,6,8,1,1,1,3,4,6,1,3,55,8,1,1,2,1,71,13,14,3,2,81,499,7
2020-03-09,7,0,0,0,0,0,0,0,0,0,0,0,0,2,22,2,3,1,2,1,1,108,14,7,44,12,6,12,1,1,1,3,6,8,1,3,55,8,1,1,2,1,71,13,14,3,2,86,524,9
2020-03-10,7,0,0,0,0,0,0,0,0,0,0,0,0,2,23,2,3,1,2,1,1,111,19,7,46,12,6,13,2,1,1,3,7,11,1,3,73,13,1,2,2,1,74,12,14,3,2,99,575,12
2020-03-11,7,0,0,0,0,0,0,0,0,0,0,0,0,2,25,2,3,1,2,1,1,118,29,7,50,12,6,15,7,1,1,3,8,11,1,3,80,15,1,2,2,1,80,12,14,3,2,105,627,15
